,id,breed
0,000bec180eb18c7604dcecc8fe0dba07,boston_bull
2,001cdf01b096e06d78e9e5112d419397,pekinese
3,00214f311d5d2247d5dfe4fe24b2303d,bluetick
4,0021f9ceb3235effd7fcde7f7538ed62,golden_retriever
7,002a283a315af96eaea0e28e7163b21b,borzoi
8,003df8b8a8b05244b1d920bb6cf451f9,basenji
9,0042188c895a2f14ef64a918ed9c7b64,scottish_deerhound
11,0067dc3eab0b3c3ef0439477624d85d6,walker_hound
12,00693b8bc2470375cc744a6391d397ec,maltese_dog
13,006cc3ddb9dc1bd827479569fcdc52dc,bluetick
14,0075dc49dab4024d12fafe67074d8a81,norfolk_terrier
15,00792e341f3c6eb33663e415d0715370,african_hunting_dog
18,007ff9a78eba2aebb558afea3a51c469,lakeland_terrier
20,008b1271ed1addaccf93783b39deab45,doberman
21,008ba178d6dfc1a583617470d19c1673,otterhound
22,009509be3ca7cce0ff9e37c8b09b1125,otterhound
27,00b7d114bc5166a629a3cc03d9329120,irish_water_spaniel
29,00bee065dcec471f26394855c5c2f3de,cairn
30,00ca18751837cd6a22813f8e221f7819,affenpinscher
31,00cc68a50b2d016a6b29af628ea4e04b,labrador_retriever
33,00e9ed3fab1d2032603d1a90e557976f,english_setter
35,00fa641312604199831755f96109fde7,weimaraner
36,00fda6ecca54efbac26e907be4b0b78b,giant_schnauzer
37,0100f55e4f0fe28f2c0465d3fc4b9897,golden_retriever
39,010e87fdf252645a827e37470e65e842,groenendael
40,011761e3ae8ec5e188e8f0bcb59bb8b6,lakeland_terrier
41,011bd7fd7c036dbb243d0e37329c77b7,irish_water_spaniel
42,011e06760794850c40f23d6426c40774,dhole
43,0120343862761d052d6a7ade81625c94,dingo
44,01268f0007876a692907bda89468184c,affenpinscher
45,012ff2d21dad14452ea16b4cda7eef4c,toy_poodle
46,013aed490e0e15a8989e12ae0d0ccfaa,border_terrier
47,013c43f40f0fb13fa25ac0c2a70fd48f,lakeland_terrier
48,013f8fdf6d638c7bb042f5f17e8a9fdc,tibetan_terrier
50,014c2b0cd8e3b517e649cecf8543b8fe,african_hunting_dog
51,0159b6457aac89f43d1c1931cdf7500b,irish_water_spaniel
54,015d86b2fcb36f0fdfbe94a66c0e3400,wire-haired_fox_terrier
55,0161847d5bfae154af084993fa26a1a7,giant_schnauzer
56,0162107acd8f2588c0944b791d61bb0c,affenpinscher
57,0162b3e0144fb1d1ab82fbff3ace9938,shih-tzu
58,01680178ca6664294efb493a46014a82,irish_terrier
59,0169294085e94d1250587b38e4fbb532,kuvasz
60,016bcdb05e2d0e0878877df21b8c3cff,german_shepherd
61,0177a92a906192bfde8adbb8a237e524,greater_swiss_mountain_dog
62,018aae5768833c34e3df30d63429251e,basset
63,0192d7174233ebdb3d720000413829ac,australian_terrier
68,01b09bdac592b0eb9909dd105314ad3a,german_shepherd
69,01b35a06b00e4a832b935cf8d51303c1,bloodhound
71,01b6c2bd3053535a58d8de763cf06aa0,miniature_schnauzer
73,01c230ec18eed427cf5b1db1a833024d,english_setter
74,01d0f3692e576b3cde511285352aed4a,kelpie
76,01dffcb02d6cba7d2b101fcc93daa6f1,border_collie
77,01e2245b46eb747260ff80f1c892daef,brittany_spaniel
78,01e4d3d1cb704ed819bce35d22e716a7,appenzeller
79,01e787576c003930f96c966f9c3e1d44,scottish_deerhound
80,01ee3c7ff9bcaba9874183135877670e,entlebucher
82,01f429667104c0c5a5f321700f15435c,malamute
83,01f8540fb1084107a6eb3e528f82c1aa,welsh_springer_spaniel
84,0206c12e8984e3c8a166cc272de25d6f,chihuahua
85,0207803a6ce1bfad98e7f095c965e44a,border_terrier
88,021b5a49189665c0442c19b5b33e8cf1,entlebucher
89,0229677aec75183a16de9d6f6658fae2,irish_terrier
92,023e4e28415506e0deddcbd8f8bdab29,pug
93,0246f44bb123ce3f91c939861eb97fb7,standard_schnauzer
94,024ecfa590271db8616bfaa59159d7b2,malinois
95,024fc0be976885d5cfcf6770239a9001,english_setter
96,024fd994941146f8dfdb38a9b2b74efd,wire-haired_fox_terrier
97,02508e76981e1ba059d785704b4c480c,pug
98,0255a5bca3b9d91d4fdba8d7419b5e69,lakeland_terrier
100,025d903b457b865fd29424916e42fbc2,rhodesian_ridgeback
101,0264c5fcaaba5e31082395476447b254,komondor
103,0270276158566af50ef48b1284c998d6,wire-haired_fox_terrier
105,0287b3374c33346e2b41f73af3a36261,leonberg
106,029202b0cf0b5d6d48c6ce7b432409ef,giant_schnauzer
107,0294b42910cb8a8d8340e45d8aaf2953,mexican_hairless
